"conceptId","fsn","synonyms"
"287150009","10-30% body burnt (disorder)","10-30% body burnt"
"880093002","17q11 deletion syndrome (disorder)","17q11 deletion syndrome | Chromosome 17q11.2 deletion syndrome | Monosomy 17q11 | Neurofibromatosis type 1 microdeletion syndrome"
"287151008","30-50% body burnt (disorder)","30-50% body burnt"
"287152001","50-70% body burnt (disorder)","50-70% body burnt"
"371627004","ACE inhibitor-aggravated angioedema (disorder)","ACE inhibitor-aggravated angio-edema | ACE inhibitor-aggravated angio-oedema | ACE inhibitor-aggravated angioedema | ACE inhibitor-induced angio-edema | ACE inhibitor-induced angio-oedema | ACE inhibitor-induced angioedema | Angiotensin converting enzyme (ACE) inhibitor-aggravated angio-oedema | Angiotensin converting enzyme (ACE) inhibitor-aggravated angioedema | Angiotensin converting enzyme inhibitor-aggravated angioedema"
"241961007","ACE inhibitor-aggravated angioedema-urticaria (disorder)","ACE inhibitor-aggravated angio-edema-urticaria | ACE inhibitor-aggravated angio-oedema-urticaria | ACE inhibitor-induced angio-edema-urticaria | ACE inhibitor-induced angio-oedema-urticaria"
"281882003","AD type amyloidosis (disorder)","AD type amyloidosis"
"33579009","AIDS with candidiasis of skin AND/OR nails (disorder)","AIDS with candidiasis of skin AND/OR nails"
"359791000","AIDS with dermatomycosis (disorder)","AIDS with dermatomycosis | Acquired immunodeficiency syndrome (AIDS) with dermatomycosis | Acquired immunodeficiency syndrome with dermatomycosis"
"60690004","AIDS with herpes simplex (disorder)","AIDS with herpes simplex"
"60690004","AIDS with herpes simplex (disorder)","AIDS with herpes simplex"
"87014001","AIDS with herpes zoster (disorder)","AIDS with herpes zoster"
"87014001","AIDS with herpes zoster (disorder)","AIDS with herpes zoster"
"1170003","AIDS with hyperhidrosis (disorder)","AIDS with hyperhidrosis"
"1170003","AIDS with hyperhidrosis (disorder)","AIDS with hyperhidrosis"
"6764002","AIDS with leukoplakia of oral mucosa (tongue) (disorder)","AIDS with leucoplakia of oral mucosa (tongue) | AIDS with leukoplakia of oral mucosa (tongue)"
"12019006","AIDS with rash (disorder)","AIDS with rash"
"61800002","AIDS with skin disease (disorder)","AIDS with skin disease"
"61800002","AIDS with skin disease (disorder)","AIDS with skin disease"
"45166008","AIDS with subcutaneous tissue disease (disorder)","AIDS with subcutaneous tissue disease"
"45166008","AIDS with subcutaneous tissue disease (disorder)","AIDS with subcutaneous tissue disease"
